ID_KLASY,ID_TOWARU,ID_KLASY_NADRZ,TYP,NAZWA_KLASY,ID_KLASYFIKACJI,CZY_OBOWIAZKOWA,ID_KLASY_CENTR,CZY_IMP_Z_CENTR,CZY_KLASYFIKACJA_ZEWNETRZNA,CZY_DEFINICJA_CECH_DODATK,TS,CZY_AKTYWNY
14307,,13129,N,18.03.01.04 Ręczniki,10442,N,A67BA16E-F3F1-4768-9D9A-62BD05A33F2E,false,true,false,0x000000000007180F,true
14308,,13126,N,18.02.02.01 Wykładziny dywanowe,10442,N,19BCA1C1-2E6C-40D1-BC7A-F60C4C2B48D7,false,true,false,0x0000000000071810,true
14309,,13126,N,18.02.02.02 Wykładziny PVC,10442,N,8CA83235-E103-4F58-9812-28862D9CBACB,false,true,false,0x0000000000071811,true
14310,,13130,N,"18.03.02.01 Olejki, Odświeżacze dekoracyjne",10442,N,4E088342-DE6D-4D67-AD1B-8A995F6DE5F8,false,true,false,0x0000000000071812,true
14311,,13130,N,18.03.02.02 Dodatki dekoracyjne,10442,N,26B9FE0A-90F4-45B4-8BF7-95908D650672,false,true,false,0x0000000000071813,true
14312,,13130,N,18.03.02.03 Zegary,10442,N,998A8B4B-50FE-42AD-8EAE-DEE806BACDCF,false,true,false,0x0000000000071814,true
14313,,13119,N,18.03.03.01 Świece,10442,N,D241C7A7-3DB3-4323-B23E-30910B745974,false,true,false,0x0000000000071815,true
14314,,13128,N,18.02.04.01 Wycieraczki,10442,N,E45ED652-8B3E-40BD-9BE9-679B64CE4441,false,true,false,0x0000000000071816,true
14315,,13128,N,"18.02.04.02 Maty antypoślizgowe, izolujące, ochronne",10442,N,68B39217-B2BB-4A17-8F4E-BA9EB46CE032,false,true,false,0x0000000000071817,true
14316,,13120,N,18.03.04.02 Wazony,10442,N,DD3857E9-B123-4D79-81AF-7FBD9945C60B,false,true,false,0x0000000000071818,true
14317,,13120,N,18.03.04.03 Sztuczne kwiaty,10442,N,75352188-E1E0-4CD9-9BE6-0822AE24D415,false,true,false,0x0000000000071819,true
14318,,13121,N,18.04.01.01 Antyramy,10442,N,9C750269-D51C-49B9-8D62-7B6EC33466CA,false,true,false,0x000000000007181A,true
14319,,13122,N,18.04.02.01 Ramki foto,10442,N,8A70D829-528B-44EF-850B-733771E6FD52,false,true,false,0x000000000007181B,true
14320,,13129,N,"18.03.01.05 Komplety pościeli, Prześcieradła",10442,N,A8D89FBB-154F-431A-9EAE-CD7FD89DB08A,false,true,false,0x000000000007181C,true
14321,,13129,N,"18.03.01.06 Kołdry, Poduszki",10442,N,C237FA72-4643-4A94-B1BC-94C4ECC1AE1A,false,true,false,0x000000000007181D,true
14322,,13113,N,18.04.05.01 Obrazy,10442,N,28437AE9-83C6-4048-A587-FC8648855069,false,true,false,0x000000000007181E,true
14323,,13114,N,18.04.06.01 Plakaty,10442,N,62A257DE-1913-421E-AC0B-36457217400A,false,true,false,0x000000000007181F,true
